image,predicted,expected,match,similarity,confidence
ak1165.png,8EUW 999,FUW999,0,0.7142857142857143,0.3484
ak399.png,FGJZ3S,FGJ235,0,0.6666666666666667,0.5526
ak721.png,ALA5KA,FHG521,0,0.16666666666666663,0.6688000000000001
ak848.png,8FPJ 33I,FPJ331,0,0.7142857142857143,0.368
al1156.png,S7304,6A5730A,0,0.4285714285714286,0.5833999999999999
al1181.png,Z 6,26A178N,0,0.1428571428571429,0.33515999999999996
al1204.png,9499904,9A9990A,0,0.7142857142857143,0.5946
al1247.png,ATN3AF,47A434F,0,0.2857142857142857,0.5820000000000001
al1259.png,KAAZOC,KAA20C,0,0.6666666666666667,0.5344
al145.png,ATA8DAC,47A8D4C,0,0.5714285714285714,0.6324000000000001
al1528.png,I63Z96B,1G3296B,0,0.5714285714285714,0.6352
al1662.png,ZI 36334,2A3633A,0,0.5714285714285714,0.6394
al47.png,Z49OB3,2A9043J,0,0.2857142857142857,0.6295999999999999
ar1097.png,CUNT,UNI,0,0.5,0.5722
ar1258.png,Y,541AXY,0,0.16666666666666663,0.1883
ar127.png,9911NJ,991LNJ,0,0.8333333333333334,0.5722
ar1282.png,3IBAC2,318ACZ,0,0.5,0.5344
ar1308.png,3SS0CT,355OCT,0,0.5,0.5344
ar1487.png,8,NOX218,0,0.16666666666666663,0.18437999999999996
ar285.png,6AKG,514KZE,0,0.16666666666666663,0.5344
