epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,412.962,0.27308,0.4923,1.00934,0.99137,0.99639,0.99486,0.97475,0.33985,0.38016,0.62151,0.00333017,0.00333017,0.00333017
2,786.313,0.20082,0.25787,0.92464,0.99665,0.99905,0.995,0.99196,0.33315,0.22891,0.5888,0.00659754,0.00659754,0.00659754
3,1152.09,0.24151,0.28208,0.94193,0.97704,0.99353,0.99413,0.97064,0.35908,0.31156,0.61494,0.0097989,0.0097989,0.0097989
4,1510.23,0.25207,0.29661,0.94401,0.9654,0.98943,0.99308,0.97214,0.29003,0.32163,0.52595,0.009703,0.009703,0.009703
5,1866.55,0.22332,0.26237,0.92749,0.9782,0.99211,0.99434,0.98675,0.29879,0.28816,0.5221,0.009604,0.009604,0.009604
6,2227.58,0.19825,0.23997,0.91393,0.99297,0.99763,0.99491,0.98874,0.27326,0.19758,0.50732,0.009505,0.009505,0.009505
7,2582.71,0.17663,0.217,0.90714,0.99216,0.99732,0.9949,0.99229,0.27644,0.22092,0.52571,0.009406,0.009406,0.009406
8,2939.15,0.16333,0.20555,0.90302,0.99252,0.99921,0.99483,0.99018,0.21508,0.20474,0.45119,0.009307,0.009307,0.009307
9,3297.41,0.15243,0.19561,0.90024,0.99844,0.99968,0.99499,0.99407,0.23795,0.19563,0.47487,0.009208,0.009208,0.009208
10,3652.84,0.14451,0.18911,0.89335,0.99575,0.99842,0.99497,0.99339,0.23626,0.20387,0.4561,0.009109,0.009109,0.009109
11,4007.41,0.14099,0.18853,0.89608,0.99748,0.99834,0.995,0.99271,0.19506,0.1847,0.42967,0.00901,0.00901,0.00901
12,4365.12,0.12997,0.17532,0.89152,0.99137,0.99685,0.99478,0.99023,0.28036,0.30832,0.50685,0.008911,0.008911,0.008911
13,4721.99,0.12565,0.17243,0.88876,0.99795,0.99984,0.995,0.99396,0.18306,0.19086,0.41763,0.008812,0.008812,0.008812
14,5076.52,0.11982,0.16751,0.88573,0.99701,0.99892,0.995,0.99316,0.22669,0.20134,0.48414,0.008713,0.008713,0.008713
15,5432.72,0.11638,0.16367,0.88762,0.99807,0.99953,0.995,0.99493,0.22719,0.21937,0.45728,0.008614,0.008614,0.008614
16,5790.2,0.11097,0.15719,0.88609,0.9978,0.99933,0.995,0.99447,0.18245,0.18821,0.41265,0.008515,0.008515,0.008515
17,6147.82,0.11018,0.15891,0.88717,0.99793,0.99937,0.995,0.99486,0.17716,0.18213,0.41241,0.008416,0.008416,0.008416
18,6503.53,0.10824,0.1585,0.88488,0.99795,0.99867,0.995,0.99478,0.19758,0.13768,0.44049,0.008317,0.008317,0.008317
19,6863.39,0.10395,0.15367,0.88407,0.99764,0.99902,0.99499,0.99388,0.20659,0.15994,0.44059,0.008218,0.008218,0.008218
20,7220.39,0.10119,0.15055,0.88199,0.99925,0.99984,0.995,0.99486,0.18618,0.14848,0.42934,0.008119,0.008119,0.008119
1,372.549,0.27153,0.44634,0.98725,0.96927,0.9817,0.9894,0.9278,0.51759,0.45517,0.78859,0.000666035,0.000666035,0.000666035
2,724.598,0.23287,0.31815,0.95027,0.98733,0.99416,0.99484,0.97745,0.29473,0.28578,0.52813,0.00128872,0.00128872,0.00128872
3,1072.84,0.20558,0.27381,0.93346,0.98173,0.99259,0.99397,0.98038,0.30447,0.33748,0.54596,0.00186741,0.00186741,0.00186741
4,1419.01,0.18581,0.24961,0.92227,0.98793,0.99414,0.99397,0.98617,0.26454,0.31067,0.49352,0.001802,0.001802,0.001802
5,1768.66,0.15113,0.21036,0.9042,0.99037,0.99211,0.9937,0.97548,0.40702,0.3638,0.75899,0.001736,0.001736,0.001736
6,2115.59,0.13201,0.19224,0.89403,0.9941,0.99858,0.99489,0.99283,0.22401,0.25289,0.47685,0.00167,0.00167,0.00167
7,2462.51,0.11668,0.17649,0.89019,0.99701,0.9995,0.99489,0.99274,0.24067,0.23399,0.49324,0.001604,0.001604,0.001604
8,2818.22,0.11614,0.17114,0.89045,0.99043,0.99594,0.99466,0.99068,0.22449,0.23749,0.48168,0.001538,0.001538,0.001538
9,3178.39,0.10767,0.16398,0.88871,0.99554,0.99748,0.99494,0.99481,0.28521,0.19773,0.55626,0.001472,0.001472,0.001472
10,3536.69,0.0978,0.15323,0.88046,0.98847,0.99432,0.99477,0.99268,0.23103,0.29016,0.45031,0.001406,0.001406,0.001406
11,3890.94,0.0913,0.14861,0.88099,0.99524,0.99748,0.995,0.99483,0.2061,0.25533,0.45978,0.00134,0.00134,0.00134
12,4247.61,0.08703,0.14532,0.8801,0.98108,0.98517,0.99448,0.99075,0.2288,0.31252,0.50793,0.001274,0.001274,0.001274
13,4603.91,0.08009,0.13578,0.87702,0.99932,0.99953,0.995,0.99483,0.198,0.24298,0.45641,0.001208,0.001208,0.001208
14,4960.36,0.08438,0.14154,0.87777,0.99984,0.99968,0.995,0.99495,0.27625,0.17705,0.57044,0.001142,0.001142,0.001142
15,5313.35,0.07884,0.13639,0.87847,0.99955,0.99921,0.995,0.99496,0.18384,0.22525,0.44256,0.001076,0.001076,0.001076
16,5668.44,0.07274,0.12765,0.87694,0.99626,0.99795,0.99499,0.99276,0.21887,0.21404,0.47508,0.00101,0.00101,0.00101
