epoch,train_acc,val_acc,lr
1,0.4361476453118371,0.6202290076335878,0.001
2,0.5965210012728044,0.6183206106870229,0.001
3,0.6221892235893084,0.6354961832061069,0.001
4,0.6274925753075944,0.6450381679389313,0.001
5,0.640857021637675,0.6469465648854962,0.001
6,0.6521001272804412,0.6526717557251909,0.001
7,0.6576156130674586,0.6450381679389313,0.001
8,0.6548578701739499,0.6583969465648855,0.001
9,0.6682223165040305,0.6641221374045801,0.001
10,0.6677980483665676,0.6622137404580153,0.001
11,0.6720407297411964,0.6641221374045801,0.001
12,0.680101824352991,0.6622137404580153,0.001
13,0.6849809079338142,0.666030534351145,0.001
14,0.6826474331777683,0.6812977099236641,0.001
15,0.6938905388205345,0.6698473282442748,0.001
16,0.7036487059821808,0.6641221374045801,0.001
17,0.7004666949512092,0.6698473282442748,0.001
18,0.7013152312261349,0.6851145038167938,0.001
19,0.7168010182435299,0.6736641221374046,0.001
20,0.7100127280441239,0.683206106870229,0.001
